Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-9>;RECEITAS CORRENTES (I);siconfi-cor_ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;3572418762
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-9>;Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;2821995600
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-9>;ICMS;siconfi-cor_ICMSLiquidoExcetoTransferenciasEFUNDEB;2245257428
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-9>;IPVA;siconfi-cor_IPVALiquidoExcetoTransferenciasEFUNDEB;247659666,7
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-9>;ITCD;siconfi-cor_ITCDLiquidoExcetoTransferenciasEFUNDEB;46869942,78
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-9>;IRRF;siconfi-cor_IRRFLiquidoExcetoTransferenciasEFUNDEB;138872049,9
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-9>;Outros Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_OutrasReceitasTributarias;143336513,1
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-9>;Contribuições;siconfi-cor_RREO3ReceitaDeContribuicoes;84150585,86
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-9>;Receita Patrimonial;siconfi-cor_RREO3ReceitaPatrimonial;16051351,76
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-9>;Rendimentos de Aplicação Financeira;siconfi-cor_RendimentosDeAplicacaoFinanceira;11542140,6
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-9>;Outras Receitas Patrimoniais;siconfi-cor_OutrasReceitasPatrimoniais;4509211,16
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-9>;Receita Agropecuária;siconfi-cor_RREO3ReceitaAgropecuaria;249486,66
